glyph_modern,pinyin,hsk_level,meaning_en,source,all_source_labels
祭,jì,null,Sacrifice or ritual ceremony to honor ancestors or deities.,Shuowen Jiezi + HJ corpus,[]
角,jiǎo,null,"Horn or corner, a pointed projection or angular edge.",Shuowen Jiezi + HJ corpus,[]
井,jǐng,null,"Well, a deep hole dug to access underground water.",Shuowen Jiezi + HJ corpus,[]
弓,gōng,null,"Bow, a weapon used for shooting arrows.",Shuowen Jiezi + HJ corpus,[]
酒,jiǔ,null,Alcoholic beverage or wine made through fermentation.,Shuowen Jiezi + HJ corpus,[]
鼠,shǔ,null,"A mouse or rat, representing small rodents.",Shuowen Jiezi + HJ corpus,[]
网,wǎng,null,"A net used for catching fish or birds, or a network structure.",Shuowen Jiezi + HJ corpus,[]
子,zǐ,null,"A child or son, representing offspring and young people.",Shuowen Jiezi + HJ corpus,[]
雷,léi,null,"Thunder, the sound accompanying lightning in storms.",Shuowen Jiezi + HJ corpus,[]
走,zǒu,null,"To walk or run, to move on foot.",Shuowen Jiezi + HJ corpus,[]
虫,chóng,null,"Insect or worm, small crawling creature.",Shuowen Jiezi + HJ corpus,[]
耳,ěr,null,"Ear, the organ of hearing.",Shuowen Jiezi + HJ corpus,[]
米,mǐ,null,"Rice or grain, a staple food crop.",Shuowen Jiezi + HJ corpus,[]
鼎,dǐng,null,An ancient bronze tripod vessel used for cooking and ritual ceremonies.,Shuowen Jiezi + HJ corpus,[]
舟,zhōu,null,A boat or small watercraft used for transportation on rivers and lakes.,Shuowen Jiezi + HJ corpus,[]
门,mén,null,A door or gate that allows passage through a wall or barrier.,Shuowen Jiezi + HJ corpus,[]
犬,quǎn,null,"A dog, especially referring to larger breeds or in formal contexts.",Shuowen Jiezi + HJ corpus,[]
羊,yáng,null,"A domesticated animal raised for wool, meat, and milk.",Shuowen Jiezi + HJ corpus,[]
豕,shǐ,null,"A pig or swine, especially in ancient Chinese contexts.",Shuowen Jiezi + HJ corpus,[]
来,lái,null,To come or arrive from another place.,Shuowen Jiezi + HJ corpus,[]
