id,glyph_modern,glyph_trad,pinyin,pinyin_tone,radical,pictograph_type,geometry,semantics,evolution,svg_jiaguwen,svg_modern,svg_url,thumbnail_url,meaning_zh,meaning_en,mnemonic_zh,mnemonic_en,embedding,inscription_count,verified,source,created_at,updated_at,meaning_it,strokes,difficulty,set_id,status,mnemonic_image_url,mnemonic_svg,mnemonic_story_en,mnemonic_story_zh,mnemonic_story_it,etymology,mnemonic_it,stroke_count,example_word_zh,example_word_en,illustration_url,glyph_oracle,tags,source_id,image_url,visual_description,hsk_level,renjiao_grade,renjiao_lesson,renjiao_type,ai_filled_at,human_edited_at,ai_confidence,needs_review,first_source_label
9a96ac95-6d2a-4b26-a511-c97e87ed863a,家,null,jiā,null,宀,pictogram,{},{},{},null,null,null,null,家庭或家。,Home or family.,屋顶下的猪代表古代家庭的财富和安全。,A pig under a roof represents the wealth and security of home in ancient times.,null,0,false,Shuowen Jiezi + HJ corpus,2026-04-08 16:48:40.287688+00,2026-04-08 16:48:40.287688+00,Casa o famiglia.,null,3,places,draft,null,null,null,null,null,"The oracle bone form shows the roof radical 宀 over a pig 豕, as pigs were valuable domestic animals kept at home. This compound ideograph represents the concept of home through the shelter and livestock that defined ancient households.",Un maiale sotto un tetto rappresenta la ricchezza e la sicurezza della casa nei tempi antichi.,10,家人,family members,null,null,[],null,https://yqcojudvvjntaajnrilr.supabase.co/storage/v1/object/public/illustrations/char_9a96ac95-6d2a-4b26-a511-c97e87ed863a_cartoon_1776506271627.png,null,null,null,null,null,null,null,null,false,null
4eee767c-1455-4fa1-a387-2193dcd91a64,从,null,cóng,null,人,pictogram,{},{},{},null,null,null,null,跟随或从。,To follow or from.,两个人一前一后走，表示跟随的动作。,"Two people walking one behind the other, showing the act of following.",null,0,false,Shuowen Jiezi + HJ corpus,2026-04-08 16:48:40.469785+00,2026-04-08 16:48:40.469785+00,Seguire o da.,null,2,actions,draft,null,null,null,null,null,"The oracle bone script shows two human figures, one following behind the other, creating an ideographic representation of the concept 'to follow'. This compound ideograph uses repeated elements to convey abstract meaning through concrete imagery.","Due persone che camminano una dietro l'altra, mostrando l'atto di seguire.",4,从来,always,null,null,[],null,https://yqcojudvvjntaajnrilr.supabase.co/storage/v1/object/public/illustrations/char_4eee767c-1455-4fa1-a387-2193dcd91a64_cartoon_1776506473382.png,null,null,null,null,null,null,null,null,false,null
e7eca6de-4b6e-4d8a-9648-72ab86aff72f,七,null,qī,null,null,ideogram,{},{},{},null,null,null,null,数字七，表示数量为七的概念。,"The number seven, representing the quantity or concept of seven.",看起来像被砍断的刀，七次重击后折断。,"Looks like a knife that has been cut, breaking after seven strikes.",null,0,false,Shuowen Jiezi + HJ corpus,2026-04-08 15:22:56.778051+00,2026-04-08 15:22:56.778051+00,"Il numero sette, che rappresenta la quantità o il concetto di sette.",null,1,numbers,draft,null,null,null,null,null,null,"Sembra un coltello che è stato tagliato, spezzandosi dopo sette colpi.",2,null,null,null,null,[],null,https://yqcojudvvjntaajnrilr.supabase.co/storage/v1/object/public/illustrations/char_e7eca6de-4b6e-4d8a-9648-72ab86aff72f_cartoon_1776506223630.png,null,null,null,null,null,null,null,null,false,null
e7debb1b-2046-4303-a0a8-f34e3d2ff51f,萬,null,wàn,null,艸,pictogram,{},{},{},null,null,null,null,一万，代表巨大的数量或万物。,"Ten thousand, representing an enormous quantity or myriad things.",上面是草字头下面像蝎子 - 草丛中蝎子多得数不清。,A scorpion with grass radical on top - so many scorpions in the grass you can't count them all.,null,0,false,Shuowen Jiezi + HJ corpus,2026-04-08 16:49:34.245604+00,2026-04-08 16:49:34.245604+00,"Diecimila, che rappresenta una quantità enorme o una miriade di cose.",null,3,numbers,draft,null,null,null,null,null,"In oracle bone script, 萬 was depicted as a scorpion-like creature, possibly representing the idea of countless small creatures. The connection between the scorpion image and the concept of 'ten thousand' likely arose from the notion of swarming or countless numbers, as scorpions were seen as creatures that appeared in great multitudes.",Uno scorpione con il radicale dell'erba sopra - così tanti scorpioni nell'erba che non puoi contarli tutti.,13,萬歲,long live,null,null,[],null,null,null,null,null,null,null,null,null,null,false,null
5b90a559-cd81-49e6-8f92-72e1b183fd8c,九,null,jiǔ,null,null,ideogram,{},{},{},null,null,null,null,数字九，表示八加一的数量。,"The number nine, representing the quantity of eight plus one.",null,Nine looks like a person bending over with their arm curved at a ninety-degree angle.,null,0,false,Shuowen Jiezi + HJ corpus,2026-04-08 17:14:04.762492+00,2026-04-08 17:14:04.762492+00,"Il numero nove, che rappresenta la quantità di otto più uno.",null,1,numbers,draft,null,null,null,null,null,null,null,2,null,null,null,null,[],null,null,null,null,null,null,null,null,null,null,false,null
eb7653d9-d431-4195-8485-b5121f6fdb0d,六,null,liu4,null,null,ideogram,{},{},{},null,null,null,null,数词，表示数量六。基本数字之一。,The number six. One of the basic numerals.,null,"Six looks like a roof with a dot underneath, remember a house with six faces",null,0,false,Shuowen Jiezi + HJ corpus,2026-04-08 18:09:46.528974+00,2026-04-08 18:09:46.528974+00,Il numero sei. Uno dei numeri fondamentali.,null,1,numbers,draft,null,null,null,null,null,null,null,4,null,null,null,null,[],null,null,null,null,null,null,null,null,null,null,false,null
2753ef05-43f1-43cc-ab80-80575726e234,手,null,shǒu,null,手,pictogram,{},{},{},null,null,null,null,人的手，用来抓握和操作物体。,The human hand used for grasping and manipulating objects.,五个手指从手掌伸出，准备抓握。,"Five fingers extending from a palm, ready to grasp.",null,0,false,Shuowen Jiezi + HJ corpus,2026-04-08 18:10:20.28837+00,2026-04-08 18:10:20.28837+00,La mano umana usata per afferrare e manipolare oggetti.,null,2,body,draft,null,null,null,null,null,The oracle bone form showed a hand with clearly defined fingers and palm. The character evolved to become more angular while maintaining the basic hand structure.,"Cinque dita che si estendono dal palmo, pronte ad afferrare.",4,左手,left hand,null,null,[],null,null,null,null,null,null,null,null,null,null,false,null
e5195fc0-db2c-4b00-b5ed-b56b6f08d875,日,null,rì,null,日,pictogram,{},{},{},null,null,null,null,太阳或白天。,The sun or day.,圆圈中间有一点，像太阳里面有黑子。,A circle with a dot in the middle looks like the sun with a sunspot.,null,0,false,Shuowen Jiezi + HJ corpus,2026-04-08 21:19:27.166832+00,2026-04-08 21:19:27.166832+00,Il sole o il giorno.,null,1,nature,draft,null,null,null,null,null,"In oracle bone script, this character depicted a circular sun with a central dot or line. The modern square form evolved from the original round shape through centuries of stylization.",Un cerchio con un punto al centro sembra il sole con una macchia solare.,4,日光,sunlight,null,null,[],null,null,null,null,null,null,null,null,null,null,false,null
50c7ce75-6393-464f-a9b7-738acfe7ed44,鸟,null,niǎo,null,鸟,pictogram,{},{},{},null,null,null,null,鸟类动物。,A bird.,字形像展开翅膀、垂下双腿的小鸟。,The character looks like a bird with spread wings and dangling legs.,null,0,false,Shuowen Jiezi + HJ corpus,2026-04-08 21:19:27.344627+00,2026-04-08 21:19:27.344627+00,Un uccello.,null,1,animals,draft,null,null,null,null,null,"Oracle bone script showed a detailed bird profile with head, body, wings, and tail clearly visible. The modern simplified form retains the basic bird silhouette but with fewer strokes.",Il carattere assomiglia a un uccello con le ali spiegate e le zampe penzoloni.,5,小鸟,little bird,null,null,[],null,null,null,null,null,null,null,null,null,null,false,null
b8c8b734-a6d4-48c0-8e42-c7a0b1475f77,马,null,mǎ,null,马,pictogram,{},{},{},null,null,null,null,马匹。,A horse.,三笔勾勒出马儿飘逸的鬃毛侧影。,Three strokes show a horse's flowing mane from the side.,null,0,false,Shuowen Jiezi + HJ corpus,2026-04-08 21:19:27.507576+00,2026-04-08 21:19:27.507576+00,Un cavallo.,null,2,animals,draft,null,null,null,null,null,"In oracle bone script, this was a detailed side view of a horse showing the head, mane, body, and legs. The simplified modern form captures just the essence of the horse's distinctive mane.",Tre tratti mostrano la criniera fluente di un cavallo di profilo.,3,白马,white horse,null,null,[],null,null,null,null,null,null,null,null,null,null,false,null
